model,model_name,period,period_name,in_training,knows_2024,days,agent_return,benchmark_return,alpha,n_buys,n_sells,n_holds,hold_rate,avg_confidence,elapsed_time
gpt-4o-mini,GPT-4o-mini,in_training,In-Training (2019-2022),True,False,1008,30.31292266845702,63.38862314084748,-33.07570047239046,103,24,881,87.40079365079364,73.0109126984127,152.8395595550537
gpt-4o-mini,GPT-4o-mini,out_of_training,Out-of-Training (2024-2025),False,False,481,35.877709045410164,47.05031401856754,-11.172604973157377,17,0,464,96.46569646569647,74.87525987525987,74.43024635314941
gpt-5,GPT-5,in_training,In-Training (2019-2022),True,True,1008,52.64221801757814,63.38862314084748,-10.74640512326934,485,0,523,51.88492063492064,63.12599206349206,653.5787088871002
gpt-5,GPT-5,out_of_training,Out-of-Training (2024-2025),False,True,481,43.53192749023438,47.05031401856754,-3.51838652833316,245,0,236,49.064449064449065,63.5987525987526,322.899822473526
claude-sonnet,Claude Sonnet 4,in_training,In-Training (2019-2022),True,True,1008,60.07799560546876,63.38862314084748,-3.310627535378721,522,0,486,48.214285714285715,74.43055555555556,1553.9310445785522
claude-sonnet,Claude Sonnet 4,out_of_training,Out-of-Training (2024-2025),False,True,481,43.53192749023438,47.05031401856754,-3.51838652833316,243,0,238,49.48024948024948,74.16216216216216,742.8378593921661
